metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
vertica.connection.active,gauge,,connection,,The current number of connections to a node.,0,vertica,
vertica.connection.total,count,,connection,,The total number of connections to a node.,0,vertica,
vertica.disk.used,gauge,,byte,,The total disk space used in bytes.,-1,vertica,
vertica.license.expiration,gauge,,second,,The time until license expiration.,1,vertica,
vertica.license.latest_audit,gauge,,second,,The time elapsed since the latest license audit was triggered.,-1,vertica,
vertica.license.size,gauge,,byte,,The total size of the license in bytes.,0,vertica,
vertica.license.usable,gauge,,byte,,The total usable size of the license in bytes.,1,vertica,
vertica.license.used,gauge,,byte,,The total used size of the license in bytes.,-1,vertica,
vertica.license.utilized,gauge,,percent,,The utilization of the license as a percentage.,-1,vertica,
vertica.node.allowed,gauge,,node,,The number of nodes permitted for use by the license.,1,vertica,
vertica.node.available,gauge,,node,,The number of available nodes remaining based on the license limit.,1,vertica,
vertica.node.disk.used,gauge,,byte,,The disk space used by nodes in bytes.,-1,vertica,
vertica.node.row.total,gauge,,row,,The number of rows in nodes.,0,vertica,
vertica.node.total,gauge,,node,,The number of nodes currently in use.,0,vertica,
vertica.projection.disk.used,gauge,,byte,,The disk space used by projections in bytes.,-1,vertica,
vertica.projection.row.total,gauge,,row,,The number of rows in projections.,0,vertica,
vertica.projection.total,gauge,,table,,The total number of projections.,0,vertica,
vertica.projection.unsafe,gauge,,table,,The number of projections that are not up to date.,-1,vertica,
vertica.projection.unsegmented,gauge,,table,,The number of projections that are not segmented.,-1,vertica,
vertica.query.active,gauge,,connection,,The current number of queries running on a node.,0,vertica,
vertica.query.total,count,,connection,,The total number of queries executed on a node.,0,vertica,
vertica.row.total,gauge,,row,,The total number of rows.,0,vertica,
vertica.storage.latency,gauge,,read,second,The latency of a storage location in seeks per second.,-1,vertica,
vertica.storage.size,gauge,,byte,,The total size of a storage location in bytes.,0,vertica,
vertica.storage.speed,gauge,,second,,The time (in seconds) it takes to read 1 mebibyte from a storage location.,-1,vertica,
vertica.storage.throughput,gauge,,mebibyte,second,The throughput of a storage location in mebibytes per second.,-1,vertica,
vertica.storage.usable,gauge,,byte,,The total usable size of a storage location in bytes.,1,vertica,
vertica.storage.used,gauge,,byte,,The total used size of a storage location in bytes.,-1,vertica,
vertica.storage.utilized,gauge,,percent,,The utilization of a storage location as a percentage.,-1,vertica,
vertica.table.disk.used,gauge,,byte,,The disk space used by tables in bytes.,-1,vertica,
vertica.table.row.total,gauge,,row,,The number of rows in tables.,0,vertica,
